model,category,n,accuracy,harmful_recall,harmful_f1,benign_false_positive_rate
Linear SVM,benign_compliment,6,0.8333333333333334,,,0.16666666666666666
Linear SVM,benign_identity_discussion,6,0.8333333333333334,,,0.16666666666666666
Linear SVM,direct_insult,6,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.0
Linear SVM,hate_target,6,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.0
Linear SVM,implicit_attack,6,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.0
Linear SVM,negation,6,0.8333333333333334,,,0.16666666666666666
Linear SVM,obfuscated_harmful,6,0.6666666666666666,0.6666666666666666,0.8,0.0
Linear SVM,quotation,6,0.8333333333333334,,,0.16666666666666666
Logistic Regression,benign_compliment,6,1.0,,,0.0
Logistic Regression,benign_identity_discussion,6,0.8333333333333334,,,0.16666666666666666
Logistic Regression,direct_insult,6,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.0
Logistic Regression,hate_target,6,0.0,0.0,0.0,0.0
Logistic Regression,implicit_attack,6,0.3333333333333333,0.3333333333333333,0.5,0.0
Logistic Regression,negation,6,0.8333333333333334,,,0.16666666666666666
Logistic Regression,obfuscated_harmful,6,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.0
Logistic Regression,quotation,6,0.8333333333333334,,,0.16666666666666666
Random Forest,benign_compliment,6,0.0,,,1.0
Random Forest,benign_identity_discussion,6,0.8333333333333334,,,0.16666666666666666
Random Forest,direct_insult,6,1.0,1.0,1.0,0.0
Random Forest,hate_target,6,0.3333333333333333,0.3333333333333333,0.5,0.0
Random Forest,implicit_attack,6,1.0,1.0,1.0,0.0
Random Forest,negation,6,0.5,,,0.5
Random Forest,obfuscated_harmful,6,1.0,1.0,1.0,0.0
Random Forest,quotation,6,0.0,,,1.0
